scrip_code,symbol,name,sector,industry,market_cap
16921,20MICRONS,20 MICRONS LTD,,,
13061,360ONE,360 ONE WAM LIMITED,,,
30105,GOLD360,360ONEAMC - GOLD360,,,
756150,SILVER360,360ONEAMC - SILVER360,,,
445,5PAISA,5PAISA CAPITAL LIMITED,,,
11868,63MOONS,63 MOONS TECHNOLOGIES LTD,,,
800334,676GS2061,676GOI2061,,,
810723,687MH33,687MAHSDL33,,,
800809,724GOI55,724GOI55,,,
800588,725GS2063,725GOI2063,,,
800607,734GS2064,734GOI2064,,,
800442,738GS2027,738GOI2027,,,
540874,7SEASL,7SEAS ENTERTAINMENT LIMITED,,,
759130,ABCOTS,A B COTSPIN INDIA LIMITED,,,
762528,ABMKNO,A B M KNOWLEDGEWARE LTD.,,,
12533,AAATECH,AAA TECHNOLOGIES LIMITED,,,
23729,AADHARHFC,AADHAR HOUSING FINANCE L,,,
1030,AARON,AARON INDUSTRIES LIMITED,,,
17145,AARTECH,AARTECH SOLONICS LIMITED,,,
4481,AARTIDRUGS,AARTI DRUGS LTD.,,,
7,AARTIIND,AARTI INDUSTRIES LTD,,,
13868,AARTIPHARM,AARTI PHARMALABS LIMITED,,,
19073,AARVI,AARVI ENCON LIMITED,,,
5385,AAVAS,AAVAS FINANCIERS LIMITED,,,
540718,AAYUSHBULL,AAYUSH ART AND BULLION LIMITED,,,
13,ABB,ABB INDIA LIMITED,,,
17903,ABBOTINDIA,ABBOTT INDIA LIMITED,,,
22,ACC,ACC LIMITED,,,
544710,ACCORDTS,ACCORD TRANSFORMER & SWITCHGEA,,,
531525,ACESOFT,ACE SOFTWARE EXPORTS LTD.,,,
27061,ACMESOLAR,ACME SOLAR HOLDINGS LTD,,,
13587,ACE,ACTION CONST EQUIP LTD,,,
5578,ACUTAAS,ACUTAAS CHEMICALS LIMITED,,,
10217,ADANIENSOL,ADANI ENERGY SOLUTION LTD,,,
25,ADANIENT,ADANI ENTERPRISES LIMITED,,,
3563,ADANIGREEN,ADANI GREEN ENERGY LTD,,,
15083,ADANIPORTS,ADANI PORT & SEZ LTD,,,
17388,ADANIPOWER,ADANI POWER LTD,,,
6066,ATGL,ADANI TOTAL GAS LIMITED,,,
544435,ADCOUNTY,ADCOUNTY MEDIA INDIA LIMITED,,,
19761,ADFFOODS,ADF FOODS LIMITED,,,
6018,ABSLAMC,ADIT BIRL SUN LIF AMC LTD,,,
21614,ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,,,
30108,ABFRL,ADITYA BIRLA FASHION & RT,,,
756843,ABLBL,ADITYA BIRLA LIFES BRAN L,,,
15239,BIRLAMONEY,ADITYA BIRLA MONEY LTD,,,
625,ABREL,ADITYA BIRLA REAL EST LTD,,,
758858,CPPLUS,ADITYA INFOTECH LIMITED,,,
25984,AVL,ADITYA VISION LIMITED,,,
23804,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,,,
34,ADOR,ADOR WELDING LTD,,,
760657,ADVAIT,ADVAIT ENRGY TRANSITION L,,,
759402,ADVANCE,ADVANCE AGROLIFE LIMITED,,,
18039,ADVENZYMES,ADVANCED ENZYME TECH LTD,,,
14745,ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,,,
759769,ADVENTHTL,ADVENT HOTELS INTERNATI L,,,
40,AEGISLOG,AEGIS LOGISTICS LIMITED,,,
757336,AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,,,
544213,ACLD,AELEA COMMODITIES LIMITED,,,
760234,AEQUS,AEQUS LIMITED,,,
12015,AEROENTER,AEROFLEX ENTERPRISES LTD,,,
18268,AEROFLEX,AEROFLEX INDUSTRIES LTD,,,
13689,AERONEU,AEROFLEX NEU LIMITED,,,
9810,AETHER,AETHER INDUSTRIES LIMITED,,,
25977,AFCONS,AFCONS INFRASTRUCTURE LTD,,,
11343,AFFLE,AFFLE 3I LIMITED,,,
3389,AGARIND,AGARWAL INDS CORP LTD.,,,
1412,AGI,AGI GREENPAC LIMITED,,,
24445,AGIIL,AGI INFRA LIMITED,,,
17833,AHLUCONT,AHLUWALIA CONT IND LTD,,,
13086,AIAENG,AIA ENGINEERING LIMITED,,,
9874,GOLDTECH,AION-TECH SOLUTIONS LTD,,,
544516,AIRFLOA,AIRFLOA RAIL TECHNOLOGY LIMITE,,,
6068,AIROLAM,AIRO LAM LIMITED,,,
8124,AJANTPHARM,AJANTA PHARMA LIMITED,,,
29624,AJAXENGG,AJAX ENGINEERING LIMITED,,,
17307,AJMERA,AJMERA REALTY & INF I LTD,,,
24715,AKUMS,AKUMS DRUGS AND PHARMA L,,,
79,ALEMBICLTD,ALEMBIC LIMITED,,,
25328,APLLTD,ALEMBIC PHARMA LTD,,,
761270,ALGOQUANT,ALGOQUANT FINTECH LIMITED,,,
13656,ALICON,ALICON CASTALLOY LIMITED,,,
5265,ALIVUS,ALIVUS LIFE SCIENCES LTD,,,
11703,ALKEM,ALKEM LABORATORIES LTD.,,,
4487,ALKYLAMINE,ALKYL AMINES CHEM. LTD,,,
758448,ALLTIME,ALL TIME PLASTICS LIMITED,,,
24308,ABDL,ALLIED BLEND N DISTILS L,,,
14813,ADSL,ALLIED DIGITAL SERV. LTD,,,
14848,ALPA,ALPA LABORATORIES LTD,,,
14597,ALPHAGEO,ALPHAGEO (INDIA) LIMITED,,,
524634,ALUFLUOR,ALUFLUORIDE LTD.,,,
760740,AMAGI,AMAGI MEDIA LABS LIMITED,,,
100,ARE&M,AMARA RAJA ENERGY MOB LTD,,,
1185,AMBER,AMBER ENTERPRISES (I) LTD,,,
15234,AMBIKCO,AMBIKA COTTON MILL LTD.,,,
1270,AMBUJACEM,AMBUJA CEMENTS LTD,,,
761670,AMIRCHAND,AMIR CHAND JAG KUM (E) L,,,
17547,AMRUTANJAN,AMRUTAJAN HEALTH LTD,,,
759956,ARSSBL,ANAND RATHI SH N STK BR L,,,
7145,ANANDRATHI,ANAND RATHI WEALTH LTD,,,
13620,ANANTRAJ,ANANT RAJ LIMITED,,,
166,ANDHRAPAP,ANDHRA PAPER LIMITED,,,
136,ANDHRSUGAR,ANDHRA SUGARS LTD,,,
324,ANGELONE,ANGEL ONE LIMITED,,,
13598,ANTELOPUS,ANTELOPUS SELAN ENRGY LTD,,,
